brand,fact_type,route_policy,risk_level,client_safe_text,manager_check_text,source_title,freshness_status,valid_until,freshness_check_date,fact_id
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, длительность занятия — 2 ак.ч.","УНПК: учебный год 2026/27, длительность занятия — 2 ак.ч.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,,2026-05-18,fact:v3:unpk:academic_year_2026_27_daily_hours:a6e9903c04
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, недель в первом семестре — 20.","УНПК: учебный год 2026/27, недель в первом семестре — 20.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,,2026-05-18,fact:v3:unpk:academic_year_2026_27_semester_1_weeks:3ad9021e33
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, недель во втором семестре — 15.","УНПК: учебный год 2026/27, недель во втором семестре — 15.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,,2026-05-18,fact:v3:unpk:academic_year_2026_27_semester_2_weeks:54d70ef4e2
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, старт занятий — 13-14 сентября 2026.","УНПК: учебный год 2026/27, старт занятий — 13-14 сентября 2026.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,,2026-05-18,fact:v3:unpk:academic_year_2026_27_start:2d75ee88a0
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, количество занятий за год — 35 занятий.","УНПК: учебный год 2026/27, количество занятий за год — 35 занятий.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,,2026-05-18,fact:v3:unpk:academic_year_2026_27_total_lessons:1b5921ba8a
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, занятий в неделю — 1.","УНПК: учебный год 2026/27, занятий в неделю — 1.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,,2026-05-18,fact:v3:unpk:academic_year_2026_27_weekly_lessons:4fca0a048c
unpk,policy,bot_answer_self_for_pilot,medium,"Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.","Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.",brand_rules.yaml (Claude layer v3),document_verified,,2026-05-18,fact:v3:unpk:brand_rules_approved_brand_relationship_answer_unpk:7477839d25
unpk,discount,bot_answer_self_for_pilot,low,УНПК: городской летний лагерь — 10%.,УНПК: городской летний лагерь — 10%.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,,2026-05-18,fact:v3:unpk:ls_city_2026_unpk_discounts_already_paid_2026_27:c110ae8db2
unpk,discount,bot_answer_self_for_pilot,low,УНПК: городской летний лагерь — 5% УНПК → УНПК.,УНПК: городской летний лагерь — 5% УНПК → УНПК.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,,2026-05-18,fact:v3:unpk:ls_city_2026_unpk_discounts_former_student_same_brand:4a858e388b
unpk,discount,bot_answer_self_for_pilot,low,"УНПК: городской летний лагерь, для сотрудников МФТИ — 10%.","УНПК: городской летний лагерь, для сотрудников МФТИ — 10%.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,,2026-05-18,fact:v3:unpk:ls_city_2026_unpk_discounts_mfti_employees:d06ee2680d
